Group No,7,7,7,7,7,7,7,5,5,5,5,5,5,5,3,3,3,3,3,3,3,Overall ,
Section,A,B,C,D,E,F,Mean ,A,B,C,D,E,F,Mean ,A,B,C,D,E,F,Mean ,Mean ,Range
Bank vegetation,"Grassy, herbaceous","Riparian vegetation, grassy on the edge","Herbaceous, grassy and mossy on the edges",Herbaceous,"Woody, viney, bare, no grass","Half bare, half riparian, mostly herbaceous, some woody",,Herbaceous,Herbaceous,Bare,Herbaceous,Herbaceous,Herbaceous,,"Herbaceous, woody, ferns","Herbaceous, woody, ferns","Herbaceous, woody, ferns",Herbaceous,Herbaceous,"herbaceous, roof of tree in section",,,
Canopy cover (%),21.75,44.25,6,94.025,86.975,94.525,57.92,84,78.42,88.235,90,80,86,84.44,83.36,82.58,81.8,83.36,84.4,80.24,82.62,75,6 - 94.5
"Substrate compostion (% gravel/cobble, sand, clay, mud, and/or concrete)",40% silt. 60% sandy,"40% clay, 50% sand, 10% silt","70% rocks, 20% clay, 10% sand","50% sand, 50% rocks","70% sand, 30% silt","50% sand, 50% rocks",,"90% sand, 10% gravel","90% sand, 10% gravel","70% sand, 30% clay","90% sand, 10% gravel","90% sand, 10% gravel","90% sand, 10% gravel",,"80% gravel, 20% sand","75% gravel, 15% sand, 5% mud, 5% silt","80% sand, 15% mud, 5% clay","60% gravel, 40% clay",70% gravel. 30% clay,"45% gravel, 55% clay",,,
Leaf litter (% cover),8,40,15,5,20,10,16.33,30,20,5,20,30,40,24.17,10,8,7,20,25,15,14.17,18.22,5.0 - 40.0
Wetted width (m),1.7,1.9,1.11,0.66,1.27,1.56,1.37,1.7,0.8,1.82,1.94,1.83,2.192,1.71,1.15,1.7,2.74,1.3,1.4,1.9,1.7,1.59,0.66 - 2.74
Wetted depth (m),0.17,0.29,0.075,0.045,0.072,0.06,0.12,0.076,0.04,0.04,0.091,0.095,0.134,0.08,0.246,0.155,0.105,0.182,0.02,0.05,0.13,0.11,0.02 - 0.29
Surface flow rate (m/s),Not taken,Not taken,Not taken,0.3,0.19,0.2,0.23,0.17,0.12,0.6,Not taken,Not taken,Not taken,0.29,0.114,0.129,0.146,0.259,0.146,0.056,0.14,0.2,0.056 - 0.595
