Location ,WNP,WNP,WNP,WNP,WNP,WNP,BBNP,BBNP,BBNP,BBNP,BBNP
Group,6,4,2,1,Mean ,Range,7,5,3,Mean,Range
GPS coordinates,"1.358966, 103.823255","1.35813, 103.82323","1.35784, 103.82305","1.3570719, 103.8228574",,,"1.34730, 103.76313","1.347710, 103.763820","1.348210, 103.76517",,
pH,6.58,6.08,6.65,6.27,6.4,6.08 - 6.65,6.33,6.25,6.11,6.23,6.11 - 6.33
Temperature (°C),27.3,27.4,27.2,26.9,27.2,26.9 - 27.4,27.9,28,28.4,28.1,27.9 - 28.4
Dissolved oxygen (mg/l),4.41,5.11,5.35,5.52,5.1,4.41 - 5.52,2.87,2.48,2.94,2.76,2.48 - 2.94
Conductivity (microSeimens),109.4,65,83.7,20.8,69.73,20.8 - 109.4,105.4,181.6,113.6,133.53,105.4 - 181.6
